"KeyType","NormalizedKey","MatchCount","EquipmentCodes","EquipmentNames","PlcTags"
"EquipmentCode","1","29","1","; Bag Opening Bottom Vacuum Cup; Bag Opening Swing Arm Stretch; Bag Opening Vacuum Cup Lifter; Bag Transfer Robot Vacuum Cup; Linear Feeder 01 Exit Stopper; Linear Feeder 02 Exit Stopper; Plate Handling ROBOT 01 Gripper; Plate Handling ROBOT 02 Gripper; Plate Infeed Conveyor Diverter; Sealing Unit Bag Opening Cylinder; Sealing Unit Heating Jaw; Tray 01 Front Guide; Tray 01 Pusher UP FB; Tray 01 Side Guide; Tray 02 Front Guide; Tray 02 Pusher UP FB; Tray 02 Side Guide; Tray Feeding Conveyor Buffer Stopper; Tray Insertion Servo Slide Pusher; Tray Insertion Servo Tray Stopper; Tray Stacker 01 Tray Centering; Tray Stacker 01 Tray Referencing; Tray Stacker 02 Tray Centering; Tray Stacker 02 Tray Referencing; Tray Stacker Safety Cover Slide; Tray Transfer ROBOT Tray Lifter; Tray Transfer ROBOT Tray Vacuum Cup","FB_PV01; FB_PV02; FB_PV03; FB_PV04; FB_PV05; FB_PV06; FB_PV08; FB_PV09; FB_PV10; FB_PV11; FB_PV13; FB_PV14; FB_PV15; FB_PV17; FB_PV18; FB_PV19; FB_PV20; FB_PV21; FB_PV22; FB_PV23; FB_PV24; FB_PV25; FB_PV26; FB_PV27; FB_PV29; FB_PV30; FB_PV31; FB_PV32; FB_PV33"
"EquipmentCode","2","4","2","Bag Opening Swing Arm1/2; Sealing Unit Vacuum Jaw; Tray 01 Stopper 01/02; Tray 02 Stopper 01/02","FB_PV07; FB_PV12; FB_PV16; FB_PV28"
