"ScreenName","EquipmentCode","EquipmentName","DeviceType","TemplateName","GlobalObjectName","Param_Equipment","Param_PlcTag","Param_Description"
"EQP_Robot_01","Robot 01","Plate Handling ROBOT-1","ABB","robot","Motor","Robot 01","FB_ROB01","Plate Handling ROBOT-1"
"EQP_Robot_02","Robot 02","Plate Handling ROBOT-2","ABB","robot","Motor","Robot 02","FB_ROB02","Plate Handling ROBOT-2"
"EQP_Robot_03","Robot 03","Tray Transfer ROBOT","ABB","robot","Motor","Robot 03","FB_ROB03","Tray Transfer ROBOT"
"EQP_Robot_04","Robot 04","Bag Transfer Robot","ABB","robot","Motor","Robot 04","FB_ROB04","Bag Transfer Robot"
"EQP_Cyl_Qty","Cyl Qty","Description","","generic_equipment","Motor","Cyl Qty","PLC Tag /FB No","Description"
"EQP_1","1","Plate Infeed Conveyor Diverter","","generic_equipment","Motor","1","FB_PV01","Plate Infeed Conveyor Diverter"
"EQP_1","1","Linear Feeder 01 Exit Stopper","","generic_equipment","Motor","1","FB_PV02","Linear Feeder 01 Exit Stopper"
"EQP_1","1","Linear Feeder 02 Exit Stopper","","generic_equipment","Motor","1","FB_PV03","Linear Feeder 02 Exit Stopper"
"EQP_1","1","Plate Handling ROBOT 01 Gripper","","generic_equipment","Motor","1","FB_PV04","Plate Handling ROBOT 01 Gripper"
"EQP_1","1","Tray 01 Side Guide","","generic_equipment","Motor","1","FB_PV05","Tray 01 Side Guide"
"EQP_1","1","Tray 01 Front Guide","","generic_equipment","Motor","1","FB_PV06","Tray 01 Front Guide"
"EQP_2","2","Tray 01 Stopper 01/02","","generic_equipment","Motor","2","FB_PV07","Tray 01 Stopper 01/02"
"EQP_1","1","Tray 01 Pusher UP FB","","generic_equipment","Motor","1","FB_PV08","Tray 01 Pusher UP FB"
"EQP_1","1","Plate Handling ROBOT 02 Gripper","","generic_equipment","Motor","1","FB_PV09","Plate Handling ROBOT 02 Gripper"
"EQP_1","1","Tray 02 Side Guide","","generic_equipment","Motor","1","FB_PV10","Tray 02 Side Guide"
"EQP_1","1","Tray 02 Front Guide","","generic_equipment","Motor","1","FB_PV11","Tray 02 Front Guide"
"EQP_2","2","Tray 02 Stopper 01/02","","generic_equipment","Motor","2","FB_PV12","Tray 02 Stopper 01/02"
"EQP_1","1","Tray 02 Pusher UP FB","","generic_equipment","Motor","1","FB_PV13","Tray 02 Pusher UP FB"
"EQP_1","1","Tray Insertion Servo Slide Pusher","","generic_equipment","Motor","1","FB_PV14","Tray Insertion Servo Slide Pusher"
"EQP_1","1","Tray Insertion Servo Tray Stopper","","generic_equipment","Motor","1","FB_PV15","Tray Insertion Servo Tray Stopper"
"EQP_2","2","Bag Opening Swing Arm1/2","","generic_equipment","Motor","2","FB_PV16","Bag Opening Swing Arm1/2"
"EQP_1","1","Bag Opening Swing Arm Stretch","","generic_equipment","Motor","1","FB_PV17","Bag Opening Swing Arm Stretch"
"EQP_1","1","Bag Opening Vacuum Cup Lifter","","generic_equipment","Motor","1","FB_PV18","Bag Opening Vacuum Cup Lifter"
"EQP_1","1","Tray Stacker Safety Cover Slide","","generic_equipment","Motor","1","FB_PV19","Tray Stacker Safety Cover Slide"
"EQP_1","1","Tray Stacker 01 Tray Centering","","generic_equipment","Motor","1","FB_PV20","Tray Stacker 01 Tray Centering"
"EQP_1","1","Tray Stacker 01 Tray Referencing","","generic_equipment","Motor","1","FB_PV21","Tray Stacker 01 Tray Referencing"
"EQP_1","1","Tray Stacker 02 Tray Centering","","generic_equipment","Motor","1","FB_PV22","Tray Stacker 02 Tray Centering"
"EQP_1","1","Tray Stacker 02 Tray Referencing","","generic_equipment","Motor","1","FB_PV23","Tray Stacker 02 Tray Referencing"
"EQP_1","1","Tray Transfer ROBOT Tray Lifter","","generic_equipment","Motor","1","FB_PV24","Tray Transfer ROBOT Tray Lifter"
"EQP_1","1","Tray Transfer ROBOT Tray Vacuum Cup","","generic_equipment","Motor","1","FB_PV25","Tray Transfer ROBOT Tray Vacuum Cup"
"EQP_1","1","Bag Transfer Robot Vacuum Cup","","generic_equipment","Motor","1","FB_PV26","Bag Transfer Robot Vacuum Cup"
"EQP_1","1","Sealing Unit Heating Jaw","","generic_equipment","Motor","1","FB_PV27","Sealing Unit Heating Jaw"
"EQP_2","2","Sealing Unit Vacuum Jaw","","generic_equipment","Motor","2","FB_PV28","Sealing Unit Vacuum Jaw"
"EQP_1","1","Sealing Unit Bag Opening Cylinder","","generic_equipment","Motor","1","FB_PV29","Sealing Unit Bag Opening Cylinder"
"EQP_1","1","Tray Feeding Conveyor Buffer Stopper","","generic_equipment","Motor","1","FB_PV30","Tray Feeding Conveyor Buffer Stopper"
"EQP_1","1","Bag Opening Bottom Vacuum Cup","","generic_equipment","Motor","1","FB_PV31","Bag Opening Bottom Vacuum Cup"
"EQP_1","1","","","generic_equipment","Motor","1","FB_PV32",""
"EQP_1","1","","","generic_equipment","Motor","1","FB_PV33",""
"EQP_FB_PV34","FB_PV34","","","generic_equipment","Motor","FB_PV34","FB_PV34",""
