"AlarmName","ErrorCode","SrNo","Device","AlarmDescription","Message","Severity","AckRequired","PlcTag","Shortcut","PlcReference","TriggerTag","MappingStatus"
"ALM_E110","E110","42","Frame 02 Door 02","Open","E110 Frame 02 Door 02 Open","500","true","","","","","Unmapped"
"ALM_E111","E111","43","Frame 02 Door 03","Open","E111 Frame 02 Door 03 Open","500","true","","","","","Unmapped"
"ALM_E112","E112","44","Frame 02 Door 04","Open","E112 Frame 02 Door 04 Open","500","true","","","","","Unmapped"
"ALM_E113","E113","45","Frame 02 Door 05","Open","E113 Frame 02 Door 05 Open","500","true","","","","","Unmapped"
"ALM_E114","E114","46","Frame 02 Door 06","Open","E114 Frame 02 Door 06 Open","500","true","","","","","Unmapped"
"ALM_E115","E115","47","Frame 02 Bag Bin 01 Door 07","Open","E115 Frame 02 Bag Bin 01 Door 07 Open","500","true","","","","","Unmapped"
"ALM_E116","E116","48","Frame 02 Bag Bin 02 Door 08","Open","E116 Frame 02 Bag Bin 02 Door 08 Open","500","true","","","","","Unmapped"
"ALM_E117","E117","49","Tray Stacker Safety Cover","","E117 Tray Stacker Safety Cover","500","true","","","","","Unmapped"
"ALM_E118","E118","50","Bag Bin Safety Cover","","E118 Bag Bin Safety Cover","500","true","","","","","Unmapped"
"ALM_E119","E119","51","","","E119","500","true","","","","","Unmapped"
"ALM_E120","E120","52","","","E120","500","true","","","","","Unmapped"
"ALM_E201","E201","54","Tray Pusher Servo 01","MPCB Tripped","E201 Tray Pusher Servo 01 MPCB Tripped","500","true","FB_Servo01","Offline","[Offline]FB_Servo01","FB_Servo01.Alarm.E201","Mapped"
"ALM_E202","E202","55","Tray Pusher Servo 01","Drive Not Ready","E202 Tray Pusher Servo 01 Drive Not Ready","500","true","FB_Servo01","Offline","[Offline]FB_Servo01","FB_Servo01.Alarm.E202","Mapped"
"ALM_E203","E203","56","Tray Pusher Servo 01","Drive  Faulted","E203 Tray Pusher Servo 01 Drive  Faulted","500","true","FB_Servo01","Offline","[Offline]FB_Servo01","FB_Servo01.Alarm.E203","Mapped"
"ALM_E204","E204","57","Plate Pusher Servo 01","MPCB Tripped","E204 Plate Pusher Servo 01 MPCB Tripped","500","true","FB_Servo02","Offline","[Offline]FB_Servo02","FB_Servo02.Alarm.E204","Mapped"
"ALM_E205","E205","58","Plate Pusher Servo 01","Drive Not Ready","E205 Plate Pusher Servo 01 Drive Not Ready","500","true","FB_Servo02","Offline","[Offline]FB_Servo02","FB_Servo02.Alarm.E205","Mapped"
"ALM_E206","E206","59","Plate Pusher Servo 01","Drive  Faulted","E206 Plate Pusher Servo 01 Drive  Faulted","500","true","FB_Servo02","Offline","[Offline]FB_Servo02","FB_Servo02.Alarm.E206","Mapped"
"ALM_E207","E207","60","Plate Guide Servo 01","MPCB Tripped","E207 Plate Guide Servo 01 MPCB Tripped","500","true","FB_Servo03","Offline","[Offline]FB_Servo03","FB_Servo03.Alarm.E207","Mapped"
"ALM_E208","E208","61","Plate Guide Servo 01","Drive Not Ready","E208 Plate Guide Servo 01 Drive Not Ready","500","true","FB_Servo03","Offline","[Offline]FB_Servo03","FB_Servo03.Alarm.E208","Mapped"
"ALM_E209","E209","62","Plate Guide Servo 01","Drive  Faulted","E209 Plate Guide Servo 01 Drive  Faulted","500","true","FB_Servo03","Offline","[Offline]FB_Servo03","FB_Servo03.Alarm.E209","Mapped"
"ALM_E210","E210","63","Tray Pusher Servo 02","MPCB Tripped","E210 Tray Pusher Servo 02 MPCB Tripped","500","true","FB_Servo04","Offline","[Offline]FB_Servo04","FB_Servo04.Alarm.E210","Mapped"
"ALM_E211","E211","64","Tray Pusher Servo 02","Drive Not Ready","E211 Tray Pusher Servo 02 Drive Not Ready","500","true","FB_Servo04","Offline","[Offline]FB_Servo04","FB_Servo04.Alarm.E211","Mapped"
"ALM_E212","E212","65","Tray Pusher Servo 02","Drive  Faulted","E212 Tray Pusher Servo 02 Drive  Faulted","500","true","FB_Servo04","Offline","[Offline]FB_Servo04","FB_Servo04.Alarm.E212","Mapped"
"ALM_E213","E213","66","Plate Pusher Servo 02","MPCB Tripped","E213 Plate Pusher Servo 02 MPCB Tripped","500","true","FB_Servo05","Offline","[Offline]FB_Servo05","FB_Servo05.Alarm.E213","Mapped"
