"AlarmName","ErrorCode","Message","Severity","AckRequired","Trigger","Device"
"ALM_E209","E209","E209 Plate Guide Servo 01 Drive  Faulted","500","true","FB_Servo03.Alarm.E209","Plate Guide Servo 01"
"ALM_E210","E210","E210 Tray Pusher Servo 02 MPCB Tripped","500","true","FB_Servo04.Alarm.E210","Tray Pusher Servo 02"
"ALM_E211","E211","E211 Tray Pusher Servo 02 Drive Not Ready","500","true","FB_Servo04.Alarm.E211","Tray Pusher Servo 02"
"ALM_E212","E212","E212 Tray Pusher Servo 02 Drive  Faulted","500","true","FB_Servo04.Alarm.E212","Tray Pusher Servo 02"
"ALM_E213","E213","E213 Plate Pusher Servo 02 MPCB Tripped","500","true","FB_Servo05.Alarm.E213","Plate Pusher Servo 02"
"ALM_E214","E214","E214 Plate Pusher Servo 02 Drive Not Ready","500","true","FB_Servo05.Alarm.E214","Plate Pusher Servo 02"
"ALM_E215","E215","E215 Plate Pusher Servo 02 Drive  Faulted","500","true","FB_Servo05.Alarm.E215","Plate Pusher Servo 02"
"ALM_E216","E216","E216 Plate Guide Servo 02 MPCB Tripped","500","true","FB_Servo06.Alarm.E216","Plate Guide Servo 02"
"ALM_E217","E217","E217 Plate Guide Servo 02 Drive Not Ready","500","true","FB_Servo06.Alarm.E217","Plate Guide Servo 02"
"ALM_E218","E218","E218 Plate Guide Servo 02 Drive  Faulted","500","true","FB_Servo06.Alarm.E218","Plate Guide Servo 02"
"ALM_E219","E219","E219 Printer Assembly Servo Slide MPCB Tripped","500","true","FB_Servo07.Alarm.E219","Printer Assembly Servo Slide"
"ALM_E220","E220","E220 Printer Assembly Servo Slide Drive Not Ready","500","true","FB_Servo07.Alarm.E220","Printer Assembly Servo Slide"
"ALM_E221","E221","E221 Printer Assembly Servo Slide Drive  Faulted","500","true","FB_Servo07.Alarm.E221","Printer Assembly Servo Slide"
"ALM_E222","E222","E222 Tray Insertion Servo Slide MPCB Tripped","500","true","FB_Servo08.Alarm.E222","Tray Insertion Servo Slide"
"ALM_E223","E223","E223 Tray Insertion Servo Slide Drive Not Ready","500","true","FB_Servo08.Alarm.E223","Tray Insertion Servo Slide"
"ALM_E224","E224","E224 Tray Insertion Servo Slide Drive  Faulted","500","true","FB_Servo08.Alarm.E224","Tray Insertion Servo Slide"
"ALM_E225","E225","E225 Tray Stacker Servo 01 MPCB Tripped","500","true","FB_Servo09.Alarm.E225","Tray Stacker Servo 01"
"ALM_E226","E226","E226 Tray Stacker Servo 01 Drive Not Ready","500","true","FB_Servo09.Alarm.E226","Tray Stacker Servo 01"
"ALM_E227","E227","E227 Tray Stacker Servo 01 Drive  Faulted","500","true","FB_Servo09.Alarm.E227","Tray Stacker Servo 01"
"ALM_E228","E228","E228 Tray Stacker Servo 02 MPCB Tripped","500","true","FB_Servo10.Alarm.E228","Tray Stacker Servo 02"
