;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;Folders Section (Must define folders before tags)
"S","PLC_DI_Discr\Data_31","DI32 Safety Door 01 Close Request PB","F","M","*","F",,,,,,,,,,,,,82,"DI32 Safety Door 01 Close Request PB",0,
"S","PLC_DI_Discr\Data_32","DI33 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI33 Spare DI",0,
"S","PLC_DI_Discr\Data_33","DI34 Spreader Start PB","F","M","*","F",,,,,,,,,,,,,82,"DI34 Spreader Start PB",0,
"S","PLC_DI_Discr\Data_34","DI35 Spreader Stop PB","F","M","*","F",,,,,,,,,,,,,82,"DI35 Spreader Stop PB",0,
"S","PLC_DI_Discr\Data_35","DI36 Safety Door 02 Open Request PB","F","M","*","F",,,,,,,,,,,,,82,"DI36 Safety Door 02 Open Request PB",0,
"S","PLC_DI_Discr\Data_36","DI37 Safety Door 02 Close Request PB","F","M","*","F",,,,,,,,,,,,,82,"DI37 Safety Door 02 Close Request PB",0,
"S","PLC_DI_Discr\Data_37","DI38 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI38 Spare DI",0,
"S","PLC_DI_Discr\Data_38","DI39 Applicator Start PB","F","M","*","F",,,,,,,,,,,,,82,"DI39 Applicator Start PB",0,
"S","PLC_DI_Discr\Data_39","DI40 Applicator Stop PB","F","M","*","F",,,,,,,,,,,,,82,"DI40 Applicator Stop PB",0,
"S","PLC_DI_Discr\Data_40","DI41 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI41 Spare DI",0,
"S","PLC_DI_Discr\Data_41","DI42 Chopper Motor-1 MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI42 Chopper Motor-1 MPCB Healthy",0,
"S","PLC_DI_Discr\Data_42","DI43 Chopper Motor-2 MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI43 Chopper Motor-2 MPCB Healthy",0,
"S","PLC_DI_Discr\Data_43","DI44 Anti-Static Coating Roller MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI44 Anti-Static Coating Roller MPCB Healthy",0,
"S","PLC_DI_Discr\Data_44","DI45 Spreader Motor-2 MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI45 Spreader Motor-2 MPCB Healthy",0,
"S","PLC_DI_Discr\Data_45","DI46 Feeders-1 MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI46 Feeders-1 MPCB Healthy",0,
"S","PLC_DI_Discr\Data_46","DI47 Feeders-2 MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI47 Feeders-2 MPCB Healthy",0,
"S","PLC_DI_Discr\Data_47","DI48 Feeders-3 MPCB Healthy","F","M","*","F",,,,,,,,,,,,,82,"DI48 Feeders-3 MPCB Healthy",0,
"S","PLC_DI_Discr\Data_48","DI49 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI49 Spare DI",0,
"S","PLC_DI_Discr\Data_49","DI50 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI50 Spare DI",0,
"S","PLC_DI_Discr\Data_50","DI51 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI51 Spare DI",0,
"S","PLC_DI_Discr\Data_51","DI52 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI52 Spare DI",0,
"S","PLC_DI_Discr\Data_52","DI53 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI53 Spare DI",0,
"S","PLC_DI_Discr\Data_53","DI54 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI54 Spare DI",0,
"S","PLC_DI_Discr\Data_54","DI55 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI55 Spare DI",0,
"S","PLC_DI_Discr\Data_55","DI56 Spare DI","F","M","*","F",,,,,,,,,,,,,82,"DI56 Spare DI",0,
"S","PLC_DI_Discr\List_01","PLC Input List 01","F","M","*","F",,,,,,,,,,,,,82,"PLC Input List 01",0,
