Tag Name,Type,Description
"HMI_Dryer_Cooling_Zn_Dust_Collector_PV03","bool","HMI_Dryer_Cooling_Zn_Dust_Collector_PV03"
"HMI_Dryer_Cooling_Zone_Temp_High_Tol_SP","float","HMI_Dryer_Cooling_Zone_Temp_High_Tol_SP"
"HMI_Dryer_Cooling_Zone_Temp_Low_Tol_SP","float","HMI_Dryer_Cooling_Zone_Temp_Low_Tol_SP"
"HMI_Dryer_Cooling_Zone_Temp_SP","float","HMI_Dryer_Cooling_Zone_Temp_SP"
"HMI_Dryer_Cool_Zone_DC_PT_High_Tol_SP","float","HMI_Dryer_Cool_Zone_DC_PT_High_Tol_SP"
"HMI_Dryer_Cool_Zone_DC_PT_Low_Tol_SP","float","HMI_Dryer_Cool_Zone_DC_PT_Low_Tol_SP"
"HMI_Dryer_Cool_Zone_DC_PT_SP","float","HMI_Dryer_Cool_Zone_DC_PT_SP"
"HMI_Dryer_Cool_Zone_DN_DC_PT_High_Tol_SP","float","HMI_Dryer_Cool_Zone_DN_DC_PT_High_Tol_SP"
"HMI_Dryer_Cool_Zone_DN_DC_PT_Low_Tol_SP","float","HMI_Dryer_Cool_Zone_DN_DC_PT_Low_Tol_SP"
"HMI_Dryer_Cool_Zone_DN_DC_PT_SP","float","HMI_Dryer_Cool_Zone_DN_DC_PT_SP"
"HMI_Dryer_Gas_Inlet_FT_High_Tol_SP","float","HMI_Dryer_Gas_Inlet_FT_High_Tol_SP"
"HMI_Dryer_Gas_Inlet_FT_Low_Tol_SP","float","HMI_Dryer_Gas_Inlet_FT_Low_Tol_SP"
"HMI_Dryer_Gas_Inlet_FT_SP","float","HMI_Dryer_Gas_Inlet_FT_SP"
"HMI_Dryer_Heating_Zn_Dust_Collector_PV01","bool","HMI_Dryer_Heating_Zn_Dust_Collector_PV01"
"HMI_Dryer_Heating_Zn_Dust_Collector_PV02","bool","HMI_Dryer_Heating_Zn_Dust_Collector_PV02"
"HMI_Dryer_Heating_Zn_Dust_Collector_PV03","bool","HMI_Dryer_Heating_Zn_Dust_Collector_PV03"
"HMI_Dryer_Heating_Zone1_Temperature_SP","float","HMI_Dryer_Heating_Zone1_Temperature_SP"
"HMI_Dryer_Heating_Zone1_Temp_High_SP","float","HMI_Dryer_Heating_Zone1_Temp_High_SP"
"HMI_Dryer_Heating_Zone1_Temp_High_Tol_SP","float","HMI_Dryer_Heating_Zone1_Temp_High_Tol_SP"
"HMI_Dryer_Heating_Zone1_Temp_Low_SP","float","HMI_Dryer_Heating_Zone1_Temp_Low_SP"
"HMI_Dryer_Heating_Zone1_Temp_Low_Tol_SP","float","HMI_Dryer_Heating_Zone1_Temp_Low_Tol_SP"
"HMI_Dryer_Heating_Zone2_Temperature_SP","float","HMI_Dryer_Heating_Zone2_Temperature_SP"
"HMI_Dryer_Heating_Zone2_Temp_High_SP","float","HMI_Dryer_Heating_Zone2_Temp_High_SP"
"HMI_Dryer_Heating_Zone2_Temp_High_Tol_SP","float","HMI_Dryer_Heating_Zone2_Temp_High_Tol_SP"
"HMI_Dryer_Heating_Zone2_Temp_Low_SP","float","HMI_Dryer_Heating_Zone2_Temp_Low_SP"
"HMI_Dryer_Heating_Zone2_Temp_Low_Tol_SP","float","HMI_Dryer_Heating_Zone2_Temp_Low_Tol_SP"
"HMI_Dryer_Heating_Zone3_Temperature_SP","float","HMI_Dryer_Heating_Zone3_Temperature_SP"
"HMI_Dryer_Heating_Zone3_Temp_High_SP","float","HMI_Dryer_Heating_Zone3_Temp_High_SP"
"HMI_Dryer_Heating_Zone3_Temp_High_Tol_SP","float","HMI_Dryer_Heating_Zone3_Temp_High_Tol_SP"
"HMI_Dryer_Heating_Zone3_Temp_Low_SP","float","HMI_Dryer_Heating_Zone3_Temp_Low_SP"
"HMI_Dryer_Heating_Zone3_Temp_Low_Tol_SP","float","HMI_Dryer_Heating_Zone3_Temp_Low_Tol_SP"
"HMI_Dryer_Heat_Zn_Inlet_FT_High_Tol_SP","float","HMI_Dryer_Heat_Zn_Inlet_FT_High_Tol_SP"
"HMI_Dryer_Heat_Zn_Inlet_FT_Low_Tol_SP","float","HMI_Dryer_Heat_Zn_Inlet_FT_Low_Tol_SP"
"HMI_Dryer_Heat_Zn_Inlet_FT_SP","float","HMI_Dryer_Heat_Zn_Inlet_FT_SP"
"HMI_Dryer_Heat_Zone_DC_PT_Low_Tol_SP","float","HMI_Dryer_Heat_Zone_DC_PT_Low_Tol_SP"
"HMI_Dryer_Heat_Zone_DN_DC_PT_High_Tol_SP","float","HMI_Dryer_Heat_Zone_DN_DC_PT_High_Tol_SP"
"HMI_Dryer_Heat_Zone_DN_DC_PT_Low_Tol_SP","float","HMI_Dryer_Heat_Zone_DN_DC_PT_Low_Tol_SP"
"HMI_Dryer_Heat_Zone_DN_DC_PT_SP","float","HMI_Dryer_Heat_Zone_DN_DC_PT_SP"
"HMI_Dryer_Heat_Zone_UP_DC_PT_High_Tol_SP","float","HMI_Dryer_Heat_Zone_UP_DC_PT_High_Tol_SP"
"HMI_Dryer_Heat_Zone_UP_DC_PT_SP","float","HMI_Dryer_Heat_Zone_UP_DC_PT_SP"
"HMI_Fine_FastSpeed","int","HMI_Fine_FastSpeed"
"HMI_Fine_FineSpeed","int","HMI_Fine_FineSpeed"
"HMI_Fine_SuperFineSpeed","int","HMI_Fine_SuperFineSpeed"
"HMI_Fine_Vibro_Enable","bool","HMI_Fine_Vibro_Enable"
"HMI_Gas_Burner_Outlet_Temp_High_Tol_SP","float","HMI_Gas_Burner_Outlet_Temp_High_Tol_SP"
"HMI_Gas_Burner_Outlet_Temp_Low_Tol_SP","float","HMI_Gas_Burner_Outlet_Temp_Low_Tol_SP"
"HMI_Gas_Burner_Outlet_Temp_SP","float","HMI_Gas_Burner_Outlet_Temp_SP"
"HMI_HeaterEnable","bool","HMI_HeaterEnable"
"HMI_Heating_Zone_Low_Flam_SP","float","HMI_Heating_Zone_Low_Flam_SP"
"HMI_Heating_Zone_Temp_High_SP","float","HMI_Heating_Zone_Temp_High_SP"
"HMI_Heating_Zone_Temp_High_Tol_SP","float","HMI_Heating_Zone_Temp_High_Tol_SP"
"HMI_Heating_Zone_Temp_Low_SP","float","HMI_Heating_Zone_Temp_Low_SP"
"HMI_Heating_Zone_Temp_Low_Tol_SP","float","HMI_Heating_Zone_Temp_Low_Tol_SP"
"HMI_Heating_Zone_Temp_SP","float","HMI_Heating_Zone_Temp_SP"
"HMI_Ioniser_Enable","bool","HMI_Ioniser_Enable"
"HMI_Manual_Chopper_1_Pu_Cyl_Fwd_Cmd","bool","HMI_Manual_Chopper_1_Pu_Cyl_Fwd_Cmd"
"HMI_Manual_Chopper_1_Pu_Cyl_Rev_Cmd","bool","HMI_Manual_Chopper_1_Pu_Cyl_Rev_Cmd"
"HMI_Manual_Chopper_1_Roller_Dn_Cmd","bool","HMI_Manual_Chopper_1_Roller_Dn_Cmd"
"HMI_Manual_Chopper_1_Roller_UP_Cmd","bool","HMI_Manual_Chopper_1_Roller_UP_Cmd"
"HMI_Manual_Chopper_2_Pu_Cyl_Fwd_Cmd","bool","HMI_Manual_Chopper_2_Pu_Cyl_Fwd_Cmd"
"HMI_Manual_Chopper_2_Pu_Cyl_Rev_Cmd","bool","HMI_Manual_Chopper_2_Pu_Cyl_Rev_Cmd"
"HMI_Manual_Chopper_2_Roller_Dn_Cmd","bool","HMI_Manual_Chopper_2_Roller_Dn_Cmd"
"HMI_Manual_Chopper_2_Roller_UP_Cmd","bool","HMI_Manual_Chopper_2_Roller_UP_Cmd"
"HMI_Manual_Coarse_Speed_SP","float","HMI_Manual_Coarse_Speed_SP"
"HMI_Manual_control_valve_output","float","HMI_Manual_control_valve_output"
"HMI_Manual_Fine_Speed_SP","float","HMI_Manual_Fine_Speed_SP"
"HMI_Manual_VFD_Speed","float","HMI_Manual_VFD_Speed"
"HMI_MDC_Start_Cmd","bool","HMI_MDC_Start_Cmd"
"HMI_Operator_Delay_Time","int","HMI_Operator_Delay_Time"
"HMI_Recipe_Load","bool","HMI_Recipe_Load"
"HMI_Recipe_Load_No","int","HMI_Recipe_Load_No"
"HMI_Recipe_Restore","bool","HMI_Recipe_Restore"
"HMI_Recipe_Restore_No","int","HMI_Recipe_Restore_No"
"HMI_Recipe_Save","bool","HMI_Recipe_Save"
"HMI_Recipe_Save_No","int","HMI_Recipe_Save_No"
"HMI_Reset_PB","bool","HMI_Reset_PB"
"HMI_Tol","float","HMI_Tol"
"HMI_WI_Zero_Cmd","bool","HMI_WI_Zero_Cmd"
"HMI_Z2_Heating_Zone_Enable","bool","HMI_Z2_Heating_Zone_Enable"
"Hot_Air","bool","Hot_Air"
"IBC001_Auto_Speed","float","IBC001_Auto_Speed"
"IBC001_Auto_Speed_While_Coarse_Feeding","float","IBC001_Auto_Speed_While_Coarse_Feeding"
"IBC001_Auto_Speed_While_Fine_Feeding","float","IBC001_Auto_Speed_While_Fine_Feeding"
"IBC001_Auto_While_Super_Fine_Feeding","float","IBC001_Auto_While_Super_Fine_Feeding"
"Input_Temp_For_Simulation","float","Input_Temp_For_Simulation"
"Manual_Mode_HMI_ASCR001_Start","bool","Manual_Mode_HMI_ASCR001_Start"
"Manual_Mode_HMI_SM001_Start","bool","Manual_Mode_HMI_SM001_Start"
"Manual_Mode_PB_ASCR001_Start","bool","Manual_Mode_PB_ASCR001_Start"
"Manual_Mode_PB_SM001_Start","bool","Manual_Mode_PB_SM001_Start"
"Master_Recipe_Fine_Weight","float","Master_Recipe_Fine_Weight"
"Master_Recipe_Free_Fall_Weight","float","Master_Recipe_Free_Fall_Weight"
"Master_Recipe_Super_Fine_Weight","float","Master_Recipe_Super_Fine_Weight"
"Master_Recipe_Target_Weight","float","Master_Recipe_Target_Weight"
"Material_level_High","bool","Material_level_High"
"MCC3_Path","string","MCC3_Path"
"MDC_Fault_Reset_CMD","bool","MDC_Fault_Reset_CMD"
"MDC_Motor_Bypass","bool","MDC_Motor_Bypass"
"Metal_Detection_Stn_Rejection_Status","int","Metal_Detection_Stn_Rejection_Status"
"MSV01_Auto_Speed_While_Material_Feeding","float","MSV01_Auto_Speed_While_Material_Feeding"
"MSV01_Auto_Speed_While_Material_Reciving","float","MSV01_Auto_Speed_While_Material_Reciving"
"MSV01_Level_Sensor_High_SP","float","MSV01_Level_Sensor_High_SP"
"MSV01_Level_Sensor_High_Tol_SP","float","MSV01_Level_Sensor_High_Tol_SP"
"MSV01_Level_Sensor_Low_SP","float","MSV01_Level_Sensor_Low_SP"
"MSV01_Level_Sensor_Low_Tol_SP","float","MSV01_Level_Sensor_Low_Tol_SP"
"MSV02_Auto_Speed","float","MSV02_Auto_Speed"
"MSV02_Auto_Speed_While_Coarse_Feeding","float","MSV02_Auto_Speed_While_Coarse_Feeding"
"MSV02_Auto_Speed_While_Fine_Feeding","float","MSV02_Auto_Speed_While_Fine_Feeding"
"MSV02_Auto_While_Super_Fine_Feeding","float","MSV02_Auto_While_Super_Fine_Feeding"
"Operator_Fault_Delay","bool","Operator_Fault_Delay"
"OSF","int","OSF"
"Panel","bool","Panel"
"R1020_Chopper_1_Cycle.STEP.0","bool","Wait For System Start Cmd"
"R1020_Chopper_1_Cycle.STEP.1","bool","Chopper-1 PU Cylinder-1 & 2 Fwd Cmd"
"R1020_Chopper_1_Cycle.STEP.2","bool","Chopper-1 Pressure Roller Cylinder Fwd Cmd"
"R1020_Chopper_1_Cycle.STEP.3","bool","Chopper-1-Spreader_Motor_Start_Cmd"
"R1020_Chopper_1_Cycle.STEP.4","bool","Chopper-1_Chopping_Motor_Start_Cmd"
"R1020_Chopper_1_Cycle.STEP.5","bool","Chopper-1_Anti-Static Coating Roller Motor Start Cmd"
"R1030_Chopper_2_Cycle.STEP.0","bool","Wait For System Start Cmd"
"R1030_Chopper_2_Cycle.STEP.1","bool","Chopper-2 PU Cylinder-1 & 2 Fwd Cmd"
"R1030_Chopper_2_Cycle.STEP.2","bool","Chopper-2 Pressure Roller Cylinder Fwd Cmd"
"R1030_Chopper_2_Cycle.STEP.3","bool","Chopper-2-Spreader_Motor_Start_Cmd"
"R1030_Chopper_2_Cycle.STEP.4","bool","Chopper-2_Chopping_Motor_Start_Cmd"
"R1030_Chopper_2_Cycle.STEP.5","bool","Chopper-2_Anti-Static Coating Roller Motor Start Cmd"
"R2010_MainLogic.STEP.1","bool","HomeCondition"
"R2010_MainLogic.STEP.2","bool","Dryer Outlet Vibratory feeder-1 and 2 ON"
"R2010_MainLogic.STEP.3","bool","Dryer Conveyor Motor ON"
"R2015_HeatingLogic.STEP.1","bool","Home Condition"
"R2015_HeatingLogic.STEP.2","bool","Dryer Heating Zone Outlet Collector ON"
"R2015_HeatingLogic.STEP.3","bool","Dryer Heating Zone Inlet Blower ON"
"R2015_HeatingLogic.STEP.4","bool","Dryer_HeatingZoneReadyForProduction"
"R2015_HeatingLogic.STEP.5","bool","Heating Start Signal"
"R2015_HeatingLogic.STEP.6","bool","Heating High Flame ON"
"R2015_HeatingLogic.STEP.7","bool","Heating Low Flame ON"
"R2020_CoolingLogic.STEP.0","bool","Home Condition"
"R2020_CoolingLogic.STEP.1","bool","Dryer Cooling Zone Enable"
"R2020_CoolingLogic.STEP.2","bool","Dryer Cooling Zone Dust Collector ON"
"R2020_CoolingLogic.STEP.3","bool","Dryer Cooling Zone Inlet Blower ON"
"R2020_CoolingLogic.STEP.4","bool","Dryer Cooling Zone Ready For Production"
"Recipe_Loaded","bool","Recipe_Loaded"
"Recipe_Name","string","Recipe_Name"
"Recipe_Number","int","Recipe_Number"
"Recipe_Restored","bool","Recipe_Restored"
"Recipe_Saved","bool","Recipe_Saved"
"Recipe_Total_Target_Weight","float","Recipe_Total_Target_Weight"
"Rejection_Stn_Rejection_Status","int","Rejection_Stn_Rejection_Status"
"RIO01_DI","bool","RIO01_DI"
"RIO01_DO","bool","RIO01_DO"
"RIO01_SDI","bool","RIO01_SDI"
"RIO01_SDO","bool","RIO01_SDO"
"RIO02_DI","bool","RIO02_DI"
"RIO02_DO","bool","RIO02_DO"
"RIO02_SDI","bool","RIO02_SDI"
"RIO02_SDO","bool","RIO02_SDO"
"RIO03_DI","bool","RIO03_DI"
"RIO03_DO","bool","RIO03_DO"
"RIO03_SDI","bool","RIO03_SDI"
"RIO03_SDO","bool","RIO03_SDO"
"RPM_Test","bool","RPM_Test"
"Safety_Door_Switch_1_Door_CoilOn","bool","Safety_Door_Switch_1_Door_CoilOn"
"Safety_Door_Switch_2_Door_CoilOn","bool","Safety_Door_Switch_2_Door_CoilOn"
"Sealing_Cycle_Bypass","bool","Sealing_Cycle_Bypass"
"Sealing_Cycle_Start_Cmd","bool","Sealing_Cycle_Start_Cmd"
"Stitching_Cycle_Bypass","bool","Stitching_Cycle_Bypass"
"Stitching_Cycle_Start_Cmd","bool","Stitching_Cycle_Start_Cmd"
"Stitching_Motor_Bypass","bool","Stitching_Motor_Bypass"
"Super_Fine_Fill_Running","bool","Super_Fine_Fill_Running"
"SystemOneSecOnOffBit","bool","SystemOneSecOnOffBit"
"SystemPLCTime","int","SystemPLCTime"
"System_1_Sec_Bit","bool","System_1_Sec_Bit"
"System_250ms_Bit","bool","System_250ms_Bit"
"System_500ms_Bit","bool","System_500ms_Bit"
"Temp","bool","Temp"
"Temp1","bool","Temp1"
"Temprature_In_Range_For_Chopper_Start","bool","Temprature_In_Range_For_Chopper_Start"
"Temp_1","bool","Temp_1"
"Temp_Bypass","bool","Temp_Bypass"
"Temp_Difference","float","Temp_Difference"
"Temp_Dryer_DustCollector_VFD_RunFB","bool","Temp_Dryer_DustCollector_VFD_RunFB"
"Temp_Dryer_Inlet_VFD_RunFB","bool","Temp_Dryer_Inlet_VFD_RunFB"
"Temp_MultiplyFactor","float","Temp_MultiplyFactor"
"Temp_PV","float","Temp_PV"
"Temp_Simulation","bool","Temp_Simulation"
"Temp_SP","float","Temp_SP"
"Temp_Temp","float","Temp_Temp"
"Temp_Within_Range","bool","Temp_Within_Range"
"testbit00123","bool","testbit00123"
"testBit002","bool","testBit002"
"TestBit01","bool","TestBit01"
"TimperatureBelowSP","bool","TimperatureBelowSP"
"Total_Bag_Accepted_Count","int","Total_Bag_Accepted_Count"
"Total_Bag_Production_Count","int","Total_Bag_Production_Count"
"Total_Bag_Rejection_Count","int","Total_Bag_Rejection_Count"
"Total_Target_Coarse_Weight","float","Total_Target_Coarse_Weight"
"Total_Target_Fine_Weight","float","Total_Target_Fine_Weight"
"Total_Target_Super_Fine_Weight","float","Total_Target_Super_Fine_Weight"
"TrialByaa","bool","TrialByaa"
"TrialBypassBit","bool","TrialBypassBit"
"Weight_Data_Reset","bool","Weight_Data_Reset"
"Z03_Alarm_SensorDig","bool","Z03_Alarm_SensorDig"
"Z1_AI01_MSV01_Level_SP","float","Z1_AI01_MSV01_Level_SP"
"Z1_AI01_Panel_Temp_Sensor_Scale_Value","float","Z1_AI01_Panel_Temp_Sensor_Scale_Value"
"Z1_AI02_Fine_Vibro_Level_SP","float","Z1_AI02_Fine_Vibro_Level_SP"
"Z1_AI03_Dust_Collector_PT_High_Tol_SP","float","Z1_AI03_Dust_Collector_PT_High_Tol_SP"
"Z1_AI03_Dust_Collector_PT_Low_Tol_SP","float","Z1_AI03_Dust_Collector_PT_Low_Tol_SP"
"Z1_AI03_Dust_Collector_PT_SP","float","Z1_AI03_Dust_Collector_PT_SP"
"Z1_Alarm_Update","bool","Z1_Alarm_Update"
"Z1_Drive_Fault","bool","Z1_Drive_Fault"
"Z1_Fault","bool","Z1_Fault"
"Z1_HMI_Auto_Cycle_Stop","bool","Z1_HMI_Auto_Cycle_Stop"
"Z1_HMI_Panel_Temp_SP","float","Z1_HMI_Panel_Temp_SP"
"Z1_Network_Healthy","bool","Z1_Network_Healthy"
"Z1_Network_Status","int","Z1_Network_Status"
"Z1_Panel_Temp_High","bool","Z1_Panel_Temp_High"
"Z1_PLC_Safety_Reset","bool","Z1_PLC_Safety_Reset"
"Z1_Pressure_Roller_Cylinder_Pressure_SP","float","Z1_Pressure_Roller_Cylinder_Pressure_SP"
"Z1_PU_Roller_Cylinder_Pressure_SP","float","Z1_PU_Roller_Cylinder_Pressure_SP"
"Z1_Safety_Reset","bool","Z1_Safety_Reset"
"Z1_System_All_Disconnector_Healthy","bool","Z1_System_All_Disconnector_Healthy"
"Z1_System_All_MPCB_Healthy","bool","Z1_System_All_MPCB_Healthy"
"Z1_System_Prestart","bool","Z1_System_Prestart"
"Z1_S_All_E_Stop_Healthy","bool","Z1_S_All_E_Stop_Healthy"
"Z1_S_All_Safety_Door_Healthy","bool","Z1_S_All_Safety_Door_Healthy"
"Z2_AI14_Dryer_Gas_Inlet_FT_Scale_Value","float","Z2_AI14_Dryer_Gas_Inlet_FT_Scale_Value"
"Z2_AI14_Dryer_Gas_Inlet_FT_Within_Range","bool","Z2_AI14_Dryer_Gas_Inlet_FT_Within_Range"
"Z2_Alarm_Update","bool","Z2_Alarm_Update"
"Z2_All_Drive_Running_FB","bool","Z2_All_Drive_Running_FB"
"Z2_DCM_Auto_Mode_Process_Bypass","bool","Z2_DCM_Auto_Mode_Process_Bypass"
"Z2_DCM_DOVF_Bypass","bool","Z2_DCM_DOVF_Bypass"
"Z2_Drive_Fault","bool","Z2_Drive_Fault"
"Z2_Dryer_Conveyor_Belt_Shifted_Fault","bool","Z2_Dryer_Conveyor_Belt_Shifted_Fault"
"Z2_Dryer_Conveyor_Tension_Fault","bool","Z2_Dryer_Conveyor_Tension_Fault"
"Z2_Dryer_Cool_Zn_DN_DC_PT_Scaled_Value","float","Z2_Dryer_Cool_Zn_DN_DC_PT_Scaled_Value"
"Z2_Dryer_Cool_Zn_DN_DC_PT_Within_Range","bool","Z2_Dryer_Cool_Zn_DN_DC_PT_Within_Range"
"Z2_Dryer_Heat_Zn_DN_DC_PT_Scaled_Value","float","Z2_Dryer_Heat_Zn_DN_DC_PT_Scaled_Value"
"Z2_Dryer_Heat_Zn_DN_DC_PT_Within_Range","bool","Z2_Dryer_Heat_Zn_DN_DC_PT_Within_Range"
"Z2_Fault","bool","Z2_Fault"
"Z2_Gas_Burner_Inlet_Temp_High_SP","float","Z2_Gas_Burner_Inlet_Temp_High_SP"
"Z2_Gas_Burner_Inlet_Temp_Low_SP","float","Z2_Gas_Burner_Inlet_Temp_Low_SP"
"Z2_HMI_Auto_Cycle_Stop","bool","Z2_HMI_Auto_Cycle_Stop"
"Z2_HMI_Gas_Burner_Inlet_Temp_High_Tol_SP","float","Z2_HMI_Gas_Burner_Inlet_Temp_High_Tol_SP"
"Z2_HMI_Gas_Burner_Inlet_Temp_Low_Tol_SP","float","Z2_HMI_Gas_Burner_Inlet_Temp_Low_Tol_SP"
"Z2_HMI_Gas_Burner_Inlet_Temp_SP","float","Z2_HMI_Gas_Burner_Inlet_Temp_SP"
"Z2_HMI_Panel_Temp_SP","float","Z2_HMI_Panel_Temp_SP"
"Z2_Network_Healthy","bool","Z2_Network_Healthy"
"Z2_Network_Status","int","Z2_Network_Status"
"Z2_Panel_Temp_High","bool","Z2_Panel_Temp_High"
"Z2_Panel_Temp_Sensor_Scale_Value","float","Z2_Panel_Temp_Sensor_Scale_Value"
"Z2_PLC_Safety_Reset","bool","Z2_PLC_Safety_Reset"
"Z2_Process_Fault","bool","Z2_Process_Fault"
"Z2_RTD_Cooling_Temp_Monitoring_Bypass","bool","Z2_RTD_Cooling_Temp_Monitoring_Bypass"
"Z2_RTD_Heating_Temp_Monitoring_Bypass","bool","Z2_RTD_Heating_Temp_Monitoring_Bypass"
"Z2_RTD_Wire_Break_Fault","bool","Z2_RTD_Wire_Break_Fault"
"Z2_Safety_Reset","bool","Z2_Safety_Reset"
"Z2_System_All_Disconnector_Healthy","bool","Z2_System_All_Disconnector_Healthy"
"Z2_System_All_MPCB_Healthy","bool","Z2_System_All_MPCB_Healthy"
"Z2_System_Prestart","bool","Z2_System_Prestart"
"Z2_S_All_E_Stop_Healthy","bool","Z2_S_All_E_Stop_Healthy"
"Z3_AI01_Panel_Temperature_Sensor_Value","float","Z3_AI01_Panel_Temperature_Sensor_Value"
"Z3_Air_Relief_Reset","bool","Z3_Air_Relief_Reset"
"Z3_Alarm_Update","bool","Z3_Alarm_Update"
"Z3_AO01_Fine_Feeder_Speed","float","Z3_AO01_Fine_Feeder_Speed"
"Z3_Auto_Cycle_Bypass","bool","Z3_Auto_Cycle_Bypass"
"Z3_Bagging_Auto_Mode_Process_Bypass","bool","Z3_Bagging_Auto_Mode_Process_Bypass"
"Z3_Bag_Stitching_Motor_Bypass","bool","Z3_Bag_Stitching_Motor_Bypass"
"Z3_Drive01_IBC001_Bypass","bool","Z3_Drive01_IBC001_Bypass"
"Z3_Drive02_MSV01_Bypass","bool","Z3_Drive02_MSV01_Bypass"
"Z3_Drive03_MSV02_Bypass","bool","Z3_Drive03_MSV02_Bypass"
"Z3_Drive04_BFC01_Bypass","bool","Z3_Drive04_BFC01_Bypass"
"Z3_Drive05_BSSC01_Bypass","bool","Z3_Drive05_BSSC01_Bypass"
"Z3_Drive06_BTC01_Bypass","bool","Z3_Drive06_BTC01_Bypass"
"Z3_Drive07_BFBC01_Bypass","bool","Z3_Drive07_BFBC01_Bypass"
"Z3_Drive08_BFTC01_Bypass","bool","Z3_Drive08_BFTC01_Bypass"
"Z3_Drive10_BRC01_Bypass","bool","Z3_Drive10_BRC01_Bypass"
"Z3_Fault","bool","Z3_Fault"
"Z3_HMI_Panel_Temp_SP","float","Z3_HMI_Panel_Temp_SP"
"Z3_Network_Healthy","bool","Z3_Network_Healthy"
"Z3_Network_Status","int","Z3_Network_Status"
"Z3_ONS","int","Z3_ONS"
"Z3_OSF","int","Z3_OSF"
"Z3_Panel_Temp_High","bool","Z3_Panel_Temp_High"
"Z3_PLC_Safety_Reset","bool","Z3_PLC_Safety_Reset"
"Z3_PV04_Filling_Stn_Conv_Dn_Cmd","bool","Z3_PV04_Filling_Stn_Conv_Dn_Cmd"
"Z3_PV04_Filling_Stn_Conv_Dn_Cmd_1","bool","Z3_PV04_Filling_Stn_Conv_Dn_Cmd_1"
"Z3_PV04_Filling_Stn_Conv_UP_Cmd","bool","Z3_PV04_Filling_Stn_Conv_UP_Cmd"
"Z3_Safety_Reset","bool","Z3_Safety_Reset"
"Z3_System_All_Disconnector_Healthy","bool","Z3_System_All_Disconnector_Healthy"
"Z3_System_All_MPCB_Healthy","bool","Z3_System_All_MPCB_Healthy"
"Z3_System_Prestart","bool","Z3_System_Prestart"
"Z3_S_All_E_Stop_Healthy","bool","Z3_S_All_E_Stop_Healthy"
"Zone01_Error","bool","Zone01_Error"
"Zone02_Error","bool","Zone02_Error"
"Zone03_Air_Relief_Reset","bool","Zone03_Air_Relief_Reset"
"Zone03_Error","bool","Zone03_Error"
